1,941,34.64,0.61,11.77,0.03,0.35,12.15,7.33,4,71
2,663,46.02,0.42,6.97,0.12,1.41,8.5,3.84,2,70
3,910,44.78,0.59,9.57,0.65,1.49,11.71,5.45,3,69
4,933,43.48,0.6,11.15,0.23,0.62,12.0,5.75,3,68
5,774,38.89,0.5,8.11,0.35,1.51,9.97,5.35,3,67
6,796,43.2,0.51,9.07,0.0,1.2,10.27,4.97,3,66
7,903,37.29,0.58,10.04,0.0,1.63,11.67,6.55,4,65
8,929,38.87,0.6,8.86,0.24,2.86,11.96,6.42,4,64
9,879,47.95,0.56,7.71,0.89,2.57,11.16,4.79,3,63
10,1120,40.46,0.72,12.09,1.05,1.23,14.37,7.39,4,62
11,966,55.55,0.62,10.47,0.9,0.94,12.31,4.57,3,61
12,831,47.93,0.53,9.46,0.55,0.53,10.54,4.52,3,60
13,835,36.81,0.54,10.39,0.0,0.4,10.79,6.13,4,59
14,828,44.64,0.53,10.33,0.04,0.24,10.61,4.93,3,58
15,827,35.07,0.53,9.98,0.15,0.55,10.68,6.37,4,57
16,838,40.99,0.54,10.25,0.15,0.37,10.78,5.48,3,56
17,779,38.0,0.5,9.04,0.0,1.05,10.09,5.57,3,55
18,917,47.96,0.59,10.99,0.18,0.57,11.74,5.08,3,54
19,922,36.28,0.6,10.94,0.61,0.36,11.91,6.87,4,53
20,1102,38.12,0.71,13.93,0.05,0.23,14.21,7.79,4,52
21,976,44.79,0.62,12.15,0.21,0.12,12.48,5.77,3,51
22,523,46.45,0.33,6.04,0.21,0.43,6.69,2.98,2,50
23,1052,37.83,0.68,12.45,0.19,0.92,13.55,7.48,4,49
24,817,44.83,0.53,10.29,0.0,0.27,10.56,4.93,3,48
25,1095,39.15,0.71,14.18,0.0,0.02,14.2,7.62,4,47
26,980,44.62,0.63,11.33,0.23,1.01,12.57,5.85,3,46
27,830,41.09,0.53,9.5,0.0,1.16,10.66,5.4,3,45
28,891,38.09,0.57,10.51,0.0,0.85,11.35,6.15,4,44
29,880,36.79,0.57,10.39,0.18,0.79,11.36,6.46,4,43
30,1020,43.18,0.65,12.15,0.03,0.8,12.98,6.2,4,42
31,778,52.72,0.49,8.59,0.02,1.27,9.88,3.86,2,41
32,972,48.3,0.62,10.86,0.35,1.19,12.4,5.31,3,40
33,934,37.14,0.6,11.69,0.09,0.23,12.02,6.75,4,39
34,918,38.27,0.59,11.19,0.41,0.24,11.84,6.46,4,38
35,966,43.15,0.62,11.83,0.0,0.53,12.35,5.93,3,37
36,890,48.99,0.56,10.62,0.15,0.52,11.29,4.73,3,36
37,662,42.64,0.42,7.89,0.19,0.37,8.45,4.09,3,35
38,602,43.21,0.39,6.38,0.25,1.07,7.7,3.69,2,34
39,626,40.08,0.4,5.87,0.57,1.62,8.06,4.19,3,33
40,625,45.66,0.4,6.75,0.01,1.28,8.04,3.67,2,32
41,862,44.44,0.55,8.8,0.11,2.15,11.07,5.18,3,31
42,719,40.12,0.46,7.83,0.0,1.41,9.24,4.79,3,30
43,747,52.98,0.47,8.41,0.0,1.09,9.49,3.69,2,29
44,890,49.75,0.57,10.29,0.19,0.86,11.34,4.7,3,28
45,779,44.36,0.5,8.87,0.1,1.03,9.99,4.68,3,27
46,763,45.92,0.48,8.3,0.15,1.22,9.67,4.32,3,26
47,626,45.86,0.4,7.18,0.07,0.76,8.01,3.62,2,25
48,704,42.68,0.45,8.09,0.15,0.81,9.05,4.42,3,24
49,646,39.83,0.41,7.41,0.07,0.78,8.26,4.3,3,23
50,750,40.34,0.48,8.4,0.11,1.05,9.57,4.9,3,22
51,824,45.81,0.53,9.0,0.07,1.53,10.61,4.83,3,21
52,574,53.59,0.37,4.95,0.1,2.28,7.33,2.83,2,20
53,937,44.33,0.6,8.98,0.5,2.44,11.92,5.54,3,19
54,801,51.36,0.51,8.35,0.19,1.73,10.27,4.15,3,18
55,934,48.55,0.6,11.1,0.0,0.85,11.95,5.1,3,17
56,813,42.42,0.52,9.39,0.33,0.74,10.47,5.15,3,16
57,824,40.48,0.53,8.72,0.68,1.22,10.62,5.48,3,15
58,945,45.89,0.61,10.95,0.34,0.83,12.12,5.49,3,14
59,780,40.69,0.5,9.06,0.3,0.71,10.07,5.18,3,13
60,778,37.81,0.5,8.84,0.72,0.45,10.01,5.52,3,12
61,954,43.57,0.61,12.0,0.29,0.0,12.29,5.88,3,11
62,844,38.38,0.54,9.99,0.0,0.83,10.81,5.85,3,10
63,702,40.11,0.45,7.99,0.0,1.06,9.05,4.71,3,9
64,654,43.64,0.42,6.58,0.27,1.52,8.37,3.97,2,8
65,749,44.02,0.48,6.7,0.27,2.61,9.58,4.51,3,7
66,769,49.01,0.49,8.54,0.14,1.17,9.85,4.17,3,6
67,868,45.7,0.56,9.87,0.16,1.13,11.17,5.09,3,5
68,552,61.15,0.35,5.28,0.03,1.78,7.09,2.41,2,4
69,605,44.95,0.39,5.84,0.23,1.66,7.73,3.56,2,3
70,620,38.82,0.4,7.38,0.11,0.49,7.98,4.29,3,2
71,423,43.6,0.27,3.64,0.62,1.18,5.44,2.6,2,1
